SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1973/1974,Juventus,,,,,,,,,1,,,,,,,,1,,,
1974/1975,Juventus,,,,,,,,,2,,,,,,,,2,,,
1975/1976,Como,6,,,,,,,,,,,,,,,,6,,,
1976/1977,Vicenza,36,21,,153,,,,,6,2,,222,,,,,42,23,,159
1977/1978,Vicenza,30,24,,112,,,,,4,2,,180,9,3,2,270,43,29,2,133
1978/1979,Vicenza,28,15,,168,1,,,,3,2,,135,6,4,,135,38,21,,163
1979/1980,Perugia,28,13,,194,4,1,,360,4,,,,5,,,,41,14,,262
1981/1982,Juventus,3,1,,249,,,,,,,,,8,6,1,111,11,7,1,130
1982/1983,Juventus,23,7,,277,9,6,,119,11,5,,194,6,,,,49,18,,226
1983/1984,Juventus,30,13,,196,9,2,1,398,7,,,,7,5,,102,53,20,1,224
1984/1985,Juventus,27,3,,686,10,5,1,159,6,2,,248,6,2,,238,49,12,1,319
1985/1986,AC Milan,20,2,,861,3,,,,3,1,,197,2,,,,28,3,,761
1986/1987,Hellas Verona,20,4,,358,,,,,7,3,,183,,,,,27,7,,283
