SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1970/1971,Bayern Munich,21,2,1,741,4,,,,6,,,,1,,,,32,2,1,1178
1971/1972,Bayern Munich,30,4,3,652,8,1,,659,6,,,,7,1,,630,51,6,3,737
1972/1973,Bayern Munich,32,4,3,703,5,,,,11,2,,495,6,,,,54,6,3,798
1973/1974,Bayern Munich,26,7,,323,7,1,,585,4,1,,360,10,3,,282,47,12,,338
1974/1975,Real Madrid,29,3,,832,6,,,,,,,,3,1,,270,38,4,,834
1975/1976,Real Madrid,25,6,,356,7,,,,,,,,1,,,,33,6,,468
1976/1977,Real Madrid,30,1,,2626,3,,,,,,,,,,,,33,1,,2896
1977/1978,Braunschweig,30,10,,265,1,,,,,,,,,,,,31,10,,273
1978/1979,Bayern Munich,33,12,4,244,,,,,2,1,,180,,,,,35,13,4,239
1979/1980,Bayern Munich,32,10,3,270,10,4,1,233,3,2,,135,,,,,45,16,4,244
1980/1981,Bayern Munich,30,17,,154,8,1,,720,2,,,,3,,,,43,18,,211
1981/1982,Bayern Munich,29,18,,133,7,5,,126,6,5,,102,17,5,,296,59,33,,152
1982/1983,Bayern Munich,22,9,,206,6,3,,180,2,1,,210,,,,,30,13,,200
