SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1983/1984,Sporting CP,21,3,,432,3,,,,5,,,,1,,,,30,3,,571
1984/1985,FC Porto,30,6,,422,2,1,,160,11,3,,322,7,1,,449,50,11,,373
1985/1986,FC Porto,26,7,1,319,3,,,,6,1,,495,5,,,,40,8,1,404
1986/1987,FC Porto,25,10,,206,8,2,,356,6,3,2,181,,,,,39,15,2,221
1987/1988,Atlético,35,8,,384,,,,,4,1,,390,2,,,,41,9,,404
1988/1989,Atlético,28,5,,480,2,1,,180,7,,,,2,,,,39,6,,543
1989/1990,Atlético,27,10,,224,2,,,,2,,,,3,1,,270,34,11,,263
1990/1991,Atlético,26,3,,644,2,,,,6,1,,484,5,2,,220,39,6,,506
1991/1992,Atlético,31,6,,413,6,5,,108,6,5,,83,5,,,,48,16,,240
1992/1993,Benfica,11,3,,291,,,,,2,2,1,76,3,1,,270,16,6,1,216
1992/1993,Atlético,16,6,,206,3,1,,200,2,,,,3,,,,24,7,,260
1993/1994,Reggiana,1,1,,90,,,,,,,,,,,,,1,1,,90
1993/1994,Marseille,8,2,,343,,,,,,,,,4,1,,360,12,3,,349
1994/1995,Reggiana,12,4,,237,,,,,2,,,,1,,,,15,4,,287
1995/1996,AC Milan,1,,,,,,,,,,,,,,,,1,,,
1996/1997,West Ham,9,,,,,,,,,,,,,,,,9,,,
1997/1998,Atlético,10,,,,,,,,,,,,,,,,10,,,
1998,Yokohama F,13,3,,335,,,,,3,,,,,,,,16,3,,418
