SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1991/1992,Dukla Prague,19,3,,555,,,,,,,,,,,,,19,3,,555
1992/1993,Sparta Prague,18,,,,5,,,,,,,,,,,,23,,,
1993/1994,Sparta Prague,23,3,5,563,4,,,,3,,,,1,,,,31,3,5,720
1994/1995,Sparta Prague,27,6,5,390,2,,,,3,4,,75,,,,,32,10,5,282
1995/1996,Sparta Prague,27,14,4,172,8,5,,144,,,,,13,1,,1085,48,20,4,210
1996/1997,Lazio,32,7,,402,3,2,,135,3,1,,270,6,1,,493,44,11,,350
1997/1998,Lazio,26,11,,179,11,2,,450,6,2,,270,7,2,,289,50,17,,235
1998/1999,Lazio,21,1,1,1620,8,4,,178,5,1,1,410,8,1,,655,42,7,2,485
1999/2000,Lazio,28,5,,468,13,1,1,926,6,1,1,484,11,4,,224,58,11,2,422
2000/2001,Lazio,31,9,1,280,10,3,2,296,5,1,,320,9,3,,265,55,16,3,283
2001/2002,Juventus,32,4,1,666,7,,,,4,,,,7,3,,209,50,7,1,583
2002/2003,Juventus,29,9,,253,15,5,,272,2,,,,8,1,,604,54,15,,291
2003/2004,Juventus,30,6,,406,6,2,,269,5,,,,13,1,1,963,54,9,1,479
2004/2005,Juventus,27,7,1,340,10,3,,272,1,,,,,,,,38,10,1,326
2005/2006,Juventus,33,5,,541,8,2,1,331,5,,,,7,1,1,621,53,8,2,552
2006/2007,Juventus,33,11,,267,,,,,3,1,,262,1,,,,37,12,,270
2007/2008,Juventus,31,2,2,1176,,,,,2,1,,163,,,,,33,3,2,838
2008/2009,Juventus,32,7,,358,9,,1,,3,,,,,,,,44,7,1,486
