SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1955,Bauru AC,,,,,,,,,,,,,,,,,,,,
1956,Santos,,,,,,,,,,,,,,,,,,,,
1957,Santos,,,,,,,,,37,40,2,80,2,2,,98,39,42,2,81
1958,Santos,,,,,,,,,46,66,,62,7,9,,60,53,75,,62
1959,Santos,4,2,,180,,,,,40,52,,69,9,11,,68,53,65,,72
1960,Santos,,,,,,,,,33,31,,96,6,4,,117,39,35,,98
1961,Santos,5,7,,60,,,,,26,47,,50,,,,,31,54,,51
1961,Santos,,,,,,,,,7,8,,71,,,,,7,8,,71
1962,Santos,5,2,,225,7,9,,61,26,37,,63,8,8,,84,46,56,,72
1963,Santos,4,8,,45,5,7,,64,28,36,,68,7,7,,81,44,58,,66
1964,Santos,6,7,,77,,,,,26,38,1,61,3,2,,135,35,47,1,66
1965,Santos,4,2,,177,7,8,,83,33,54,,55,8,9,,75,52,73,,64
1966,Santos,5,2,,218,,,,,14,12,,105,9,5,,159,28,19,,131
1967,Santos,14,9,,137,,,,,18,15,,108,,,,,32,24,,119
1968/1969,Santos,18,12,,130,2,1,,180,43,40,,94,9,5,,153,72,58,,108
1969,Santos,12,12,,80,6,2,,270,3,3,,90,7,6,,102,28,23,,103
1970,Santos,13,4,,293,,,,,16,7,,197,15,8,5,158,44,19,5,200
1971,Santos,21,1,,1859,,,,,19,6,,275,2,1,,90,42,8,,450
1972,Santos,16,5,,282,,,,,20,9,,200,,,,,36,14,,229
1973,Santos,30,19,,137,,,,,18,9,,177,,,,,48,28,,150
1974,Santos,17,9,,170,,,,,10,2,,419,,,,,27,11,,215
1975,New York,10,5,,180,,,,,,,,,,,,,10,5,,180
1975,Santos,,,,,,,,,,,,,,,,,,,,
1976,New York,24,15,,144,,,,,,,,,,,,,24,15,,144
1977,New York,31,17,,164,,,,,,,,,,,,,31,17,,164
