SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1974,Frederiksberg,,,,,,,,,,,,,,,,,,,,
1975,Frederiksberg,,,,,,,,,,,,,,,,,,,,
1976,Vanlöse,,,,,,,,,,,,,,,,,,,,
1976/1977,FC Köln,9,1,,569,3,2,,98,1,,,,1,2,,45,14,5,,173
1977/1978,FC Köln,,,,,,,,,,,,,2,1,,121,2,1,,121
1978/1979,Lokeren,33,13,,212,,,,,5,2,,199,3,,,,41,15,,229
1979/1980,Lokeren,32,19,,150,,,,,2,1,,151,5,4,,109,39,24,,143
1980/1981,Lokeren,32,22,,128,7,2,,315,6,3,,171,8,3,,240,53,30,,156
1981/1982,Lokeren,30,17,,158,6,2,,270,4,1,,420,6,4,,124,46,24,,173
1982/1983,Lokeren,19,7,,226,4,,,,4,,,,4,1,,299,31,8,,325
1983/1984,Lokeren,27,16,,148,,,,,4,5,,72,13,6,,179,44,27,,141
1984/1985,Hellas Verona,23,8,,248,,,,,9,5,,156,6,5,,99,38,18,,181
1985/1986,Hellas Verona,21,9,,210,4,4,,90,5,1,,431,13,9,2,109,43,23,2,159
1986/1987,Hellas Verona,22,8,,218,,,,,7,,,,3,,,,32,8,,320
1987/1988,Hellas Verona,25,7,,321,7,5,,115,7,1,,660,6,1,,514,45,14,,285
1988,Vejle,,,,,,,,,,,,,,,,,,,,
1989,Vejle,1,,,,,,,,,,,,,,,,1,,,
1990,Vejle,,,,,2,,,,,,,,,,,,2,,,
1991,Vejle,,,,,,,,,,,,,,,,,,,,
