SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1987/1988,Buducnost,31,4,,606,,,,,,,,,,,,,31,4,,606
1988/1989,Buducnost,28,2,,1245,,,,,2,,,,,,,,30,2,,1335
1989/1990,Partizan,15,1,,1327,2,,,,2,,,,,,,,19,1,,1642
1989/1990,Buducnost,13,4,,293,,,,,2,,,,3,,,,18,4,,361
1990/1991,Partizan,32,14,,198,6,1,,495,3,1,,270,1,,,,42,16,,225
1991/1992,Partizan,25,13,,165,2,1,,210,6,2,,244,5,,,,38,16,,193
1992/1993,Partizan,31,16,,170,,,,,8,2,,341,,,,,39,18,,189
1993/1994,Valencia CF,35,16,,181,4,2,,192,2,1,,180,,,,,41,19,,182
1994/1995,Valencia CF,29,12,,200,,,,,9,3,,264,2,,,,40,15,,221
1995/1996,Valencia CF,40,28,,124,,,,,9,6,,126,4,1,,357,53,35,,131
1996/1997,Real Madrid,38,14,1,221,,,,,5,1,,327,7,5,,126,50,20,1,203
1997/1998,Real Madrid,24,10,,177,8,1,,659,2,1,,180,12,9,1,104,46,21,1,169
1998/1999,Real Madrid,28,5,,411,9,2,,387,4,2,,135,5,2,,202,46,11,,318
1999/2000,Fiorentina,16,2,,558,9,1,,686,,,,,14,4,1,251,39,7,1,401
2000/2001,Fiorentina,13,1,,476,2,2,,68,4,2,,128,5,2,,195,24,7,,179
2001/2002,Fiorentina,13,1,,580,4,,,,,,,,8,1,,638,25,2,,670
2002/2003,Levante,21,3,,493,,,,,,,,,7,2,,195,28,5,,373
