SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1991/1992,Atlético U-19,,,,,,,,,,,,,,,,,,,,
1992/1993,Real U-19,,,,,,,,,,,,,,,,,,,,
1993/1994,Real U-19,,,,,,,,,,,,,,,,,,,,
1994/1995,Real Madrid,28,9,2,185,,,,,2,1,,129,,,,,30,10,2,179
1994/1995,Real Madrid B,1,,,,,,,,,,,,,,,,1,,,
1995/1996,Real Madrid,40,19,,185,8,6,,120,4,1,,315,,,,,52,26,,175
1996/1997,Real Madrid,42,21,1,172,,,,,5,1,,385,7,1,,566,54,23,1,199
1997/1998,Real Madrid,35,10,,296,11,2,,461,3,3,,90,9,2,1,291,58,17,1,279
1998/1999,Real Madrid,37,25,,129,10,4,,223,2,,,,7,10,,60,56,39,,125
1999/2000,Real Madrid,34,17,2,170,19,12,,140,4,,,,12,4,1,254,69,33,3,180
2000/2001,Real Madrid,36,24,,130,14,8,,148,,,,,11,4,1,220,61,36,1,144
2001/2002,Real Madrid,35,14,1,220,12,6,,180,8,9,,76,9,7,,100,64,36,1,154
2002/2003,Real Madrid,31,16,,168,14,9,,137,2,,,,8,4,,160,55,29,,161
2003/2004,Real Madrid,35,11,1,274,9,2,,364,9,7,,111,12,6,1,136,65,26,2,205
2004/2005,Real Madrid,32,9,,285,10,4,,217,1,,,,10,3,,209,53,16,,257
2005/2006,Real Madrid,26,5,,354,6,2,,230,,,,,14,3,,280,46,10,,307
2006/2007,Real Madrid,35,7,,381,7,5,,125,1,,,,3,,,,46,12,,298
2007/2008,Real Madrid,37,18,1,173,8,5,1,138,3,,,,,,,,48,23,2,175
2008/2009,Real Madrid,37,18,,166,7,3,,198,3,3,,79,,,,,47,24,,159
2009/2010,Real Madrid,30,5,,215,7,2,2,155,2,,,,,,,,39,7,2,221
2010/2011,Schalke 04,34,13,3,222,12,5,2,215,5,1,2,450,,,,,51,19,7,232
2011/2012,Schalke 04,32,15,4,186,11,4,2,238,4,2,,178,,,,,47,21,6,195
2012/2013,Al Sadd SC,22,9,,220,,,,,4,3,,120,,,,,26,12,,195
2013/2014,Al Sadd SC,17,2,,734,5,,,,1,1,,90,,,,,23,3,,633
2015,Cosmos,30,9,4,276,,,,,2,,,,,,,,32,9,4,291
