SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1947/1948,US Noeux,,,,,,,,,,,,,,,,,,,,
1948/1949,US Noeux,,,,,,,,,,,,,,,,,,,,
1949/1950,Angers,30,7,,386,,,,,,,,,,,,,30,7,,386
1950/1951,Angers,30,7,,386,,,,,,,,,,,,,30,7,,386
1951/1952,Reims,33,8,,371,,,,,,,,,,,,,33,8,,371
1952/1953,Reims,33,13,,228,,,,,1,,,,7,4,,158,41,17,,217
1953/1954,Reims,31,11,,254,,,,,4,2,,180,8,3,4,240,43,16,4,242
1954/1955,Reims,31,11,,254,,,,,4,,,,4,4,1,90,39,15,1,236
1955/1956,Reims,30,5,,540,7,,,,5,4,,120,5,2,,225,47,11,,387
1956/1957,Real Madrid,22,6,,330,8,2,,360,,,,,,,,,30,8,,338
1957/1958,Real Madrid,27,8,,304,7,3,,220,,,,,6,3,9,180,40,14,9,259
1958/1959,Real Madrid,30,10,,270,7,1,,630,,,,,1,1,1,90,38,12,1,285
1959/1960,Reims,36,14,,231,,,,,6,1,,570,6,1,2,540,48,16,2,272
1960/1961,Reims,30,5,,540,1,,,,4,2,,180,3,,,,38,7,,480
1961/1962,Reims,30,2,,1350,,,,,6,1,,540,3,,2,,39,3,2,1170
1962/1963,Reims,34,1,,3060,4,2,,180,4,1,,390,2,,1,,44,4,1,998
1963/1964,Reims,25,2,,1125,,,,,4,,,,,,,,29,2,,1320
1964/1965,Reims,29,3,,870,,,,,2,,,,,,,,31,3,,930
1965/1966,Reims,27,3,,810,,,,,7,1,,720,,,,,34,4,,788
1966/1967,Reims,33,3,,990,,,,,2,1,,210,,,,,35,4,,795
