SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1988/1989,Paulista,,,,,,,,,,,,,,,,,,,,
1989,Paulista,,,,,,,,,,,,,,,,,,,,
1990,Paulista,,,,,,,,,,,,,,,,,,,,
1991,Santa Cruz FC,,,,,,,,,,,,,,,,,,,,
1992,Mogi Mirim,,,,,,,,,,,,,,,,,,,,
1993,Corinthians,19,11,,153,,,,,2,,,,1,,,,22,11,,177
1993,Mogi Mirim,,,,,,,,,2,2,,90,,,,,2,2,,90
1994,Palmeiras,29,14,,186,,,,,,,,,,,,,29,14,,186
1994,Corinthians,,,,,,,,,26,6,,330,1,,,,27,6,,338
1995,Palmeiras,16,7,,198,9,5,,157,32,12,,225,5,1,,379,62,25,,210
1996,Palmeiras,,,,,,,,,34,22,,129,2,2,,90,36,24,,125
1996/1997,Deportivo,41,21,,167,,,,,5,1,,474,1,,,,47,22,,186
1997/1998,FC Barcelona,34,19,,150,8,1,,716,9,8,,100,14,6,3,192,65,34,3,163
1998/1999,FC Barcelona,37,24,,136,6,3,,171,5,2,,225,12,6,,173,60,35,,151
1999/2000,FC Barcelona,31,12,2,208,14,10,1,123,5,1,,414,12,10,,104,62,33,3,157
2000/2001,FC Barcelona,35,23,2,130,13,11,,102,5,2,,173,6,1,,480,59,37,2,134
2001/2002,FC Barcelona,20,8,,205,13,6,1,179,,,,,14,8,2,143,47,22,3,175
2002/2003,AC Milan,22,5,2,302,13,2,,371,3,1,2,257,3,,,,41,8,4,342
2003/2004,AC Milan,,,,,2,,,,,,,,5,1,,408,7,1,,450
2004,Cruzeiro,,,,,3,,,,7,2,,286,,,,,10,2,,421
2004/2005,Olympiacos,23,12,,153,9,1,,772,5,2,,210,,,,,37,15,,202
2005/2006,Olympiacos,22,7,,248,5,2,,221,3,2,,135,,,,,30,11,,222
2006/2007,Olympiacos,25,17,1,121,6,,,,2,,1,,,,,,33,17,2,160
2007/2008,AEK Athens,29,8,,296,9,3,,236,6,4,,117,,,,,44,15,,236
2008,Bunyodkor,,,,,4,2,,178,,,,,,,,,4,2,,178
2009,Bunyodkor,30,20,,135,9,1,,840,,,,,,,,,39,21,,169
2010,Bunyodkor,11,6,,161,5,2,,213,5,4,,105,,,,,21,12,,151
2011,São Paulo,30,5,,262,3,1,,108,13,1,,530,,,,,46,7,,278
2012,Kabuscorp,12,11,,92,,,,,,,,,,,,,12,11,,92
2013,São Caetano,7,,,,,,,,12,2,,362,,,,,19,2,,429
2015,Mogi Mirim,4,1,,266,,,,,5,,,,,,,,9,1,,472
