SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1965,Corinthians,,,,,,,,,46,6,,659,,,,,46,6,,659
1966,Corinthians,,,,,,,,,36,13,,231,,,,,36,13,,231
1967,Corinthians,20,2,,869,,,,,26,9,,260,,,,,46,11,,371
1968/1969,Corinthians,14,3,,394,,,,,43,14,,259,17,6,,233,74,23,,269
1969,Corinthians,16,8,,173,,,,,3,2,,135,1,1,,45,20,11,,154
1970,Corinthians,11,,,,,,,,10,1,,869,9,5,3,144,30,6,3,425
1971,Corinthians,21,10,,183,,,,,19,5,,342,7,1,,589,47,16,,258
1972,Corinthians,24,8,,266,,,,,19,6,,265,5,,,,48,14,,298
1973,Corinthians,21,8,,232,,,,,20,3,,590,9,3,,270,50,14,,317
1974,Corinthians,,,,,,,,,15,6,,215,15,6,,225,30,12,,220
1975,Fluminense,19,5,,287,,,,,26,13,,170,,,,,45,18,,203
1976,Fluminense,16,3,,444,,,,,28,10,,243,8,1,,675,52,14,,317
1977,Fluminense,10,2,,427,,,,,23,11,,183,12,3,,350,45,16,,244
1977/1978,Al Hilal,,,,,,,,,,,,,8,,,,8,,,
1978/1979,Al Hilal,,,,,,,,,,,,,,,,,,,,
1979/1980,Al Hilal,,,,,,,,,,,,,,,,,,,,
1980/1981,Al Hilal,,,,,,,,,,,,,,,,,,,,
