SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1965/1966,DWS,23,5,,405,,,,,2,3,,60,,,,,25,8,,276
1966/1967,DWS,29,4,4,653,2,,,,2,,,,,,,,33,4,4,743
1967/1968,DWS,34,10,7,306,2,1,,180,,,,,2,,,,38,11,7,311
1968/1969,DWS,34,15,7,200,,,,,4,3,1,130,4,,,,42,18,8,208
1969/1970,Club Brugge,27,11,,221,4,3,,120,6,3,,180,2,,,,39,17,,206
1970/1971,Club Brugge,28,12,,197,6,2,,285,2,4,,45,,,,,36,18,,173
1971/1972,Anderlecht,30,14,,192,2,,,,6,9,,55,,,,,38,23,,146
1972/1973,Anderlecht,25,16,,135,4,4,,90,5,3,,160,,,,,34,23,,130
1973/1974,Anderlecht,29,20,,126,2,3,,45,3,2,,125,11,2,1,438,45,27,1,140
1974/1975,Anderlecht,35,19,,164,6,3,,163,6,2,,300,4,2,,166,51,26,,175
1975/1976,Anderlecht,35,23,,135,9,8,,101,6,4,,129,4,3,,140,54,38,,127
1976/1977,Anderlecht,34,16,,191,11,9,1,110,5,3,,160,4,,,,54,28,1,175
1977/1978,Anderlecht,24,18,,108,7,5,,126,3,,,,10,6,3,155,44,29,3,133
1978/1979,Anderlecht,31,12,,223,4,1,,390,4,4,,86,5,1,,432,44,18,,213
1979/1980,Anderlecht,19,3,,555,1,,,,4,,,,,,,,24,3,,705
1980,Portland,18,6,,270,,,,,,,,,,,,,18,6,,270
1981/1982,Toulouse FC,12,1,,898,,,,,,,,,,,,,12,1,,898
