SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
2006/2007,Znicz,,,,,,,,,2,1,,92,,,,,2,1,,92
2007/2008,Znicz,32,21,,128,,,,,2,,,,,,,,34,21,,133
2008/2009,Lech Poznan,30,14,4,173,12,4,,194,6,2,,260,9,3,,151,57,23,4,181
2009/2010,Lech Poznan,28,18,8,140,4,2,,182,2,1,,210,14,3,,281,48,24,8,164
2010/2011,Dortmund,33,8,2,199,8,1,1,256,2,,,,11,4,,223,54,13,3,223
2011/2012,Dortmund,34,22,9,130,6,1,2,521,7,7,,91,11,5,1,145,58,35,12,136
2012/2013,Dortmund,31,24,5,108,13,10,2,109,5,2,3,214,9,2,2,405,58,38,12,130
2013/2014,Dortmund,33,20,6,139,9,6,3,135,6,2,,289,7,2,,293,55,30,9,158
2014/2015,Bayern Munich,31,17,5,146,12,6,2,155,6,2,1,292,7,7,2,86,56,32,10,144
2015/2016,Bayern Munich,32,30,2,88,12,9,1,104,7,3,1,214,13,9,1,122,64,51,5,105
2016/2017,Bayern Munich,33,30,6,93,9,8,2,99,5,5,2,90,6,11,,49,53,54,10,84
2017/2018,Bayern Munich,30,29,2,75,11,5,1,191,7,7,1,90,11,9,1,95,59,50,5,92
2018/2019,Bayern Munich,33,22,8,134,8,8,,89,6,10,2,51,8,2,2,360,55,42,12,117
2019/2020,Bayern Munich,31,34,4,81,10,15,5,59,6,6,,81,6,4,2,120,53,59,11,78
2020/2021,Bayern Munich,29,41,7,60,9,7,1,113,2,,,,10,8,1,97,50,56,9,74
2021/2022,Bayern Munich,34,35,2,84,10,13,3,67,2,2,,89,10,7,4,115,56,57,9,84
2022/2023,FC Barcelona,34,23,7,124,7,6,,104,5,4,1,113,10,3,3,285,56,36,11,133
2023/2024,FC Barcelona,35,19,8,145,9,3,,245,5,4,,77,10,4,2,181,59,30,10,150
2024/2025,FC Barcelona,34,27,2,99,13,11,,88,5,4,1,66,6,2,2,195,58,44,5,98
2025/2026,FC Barcelona,,,,,,,,,,,,,,,,,,,,
