SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1982/1983,Vicenza,,,,,,,,,,,,,,,,,,,,
1983/1984,Vicenza,,,,,,,,,4,,,,,,,,4,,,
1984/1985,Vicenza,,,,,,,,,4,2,,88,,,,,4,2,,88
1985/1986,Fiorentina,,,,,,,,,5,,,,,,,,5,,,
1986/1987,Fiorentina,5,1,,337,1,,,,4,2,,146,,,,,10,3,,239
1987/1988,Fiorentina,27,6,,380,,,,,7,3,1,195,,,,,34,9,1,318
1988/1989,Fiorentina,30,15,,175,,,,,11,9,1,109,3,1,,206,44,25,1,153
1989/1990,Fiorentina,32,17,,165,12,1,1,1110,2,1,2,189,8,3,,197,54,22,3,214
1990/1991,Juventus,33,14,,205,8,9,2,80,6,4,,135,5,3,,135,52,30,2,151
1991/1992,Juventus,32,18,,150,,,,,8,4,,150,6,5,,87,46,27,,138
1992/1993,Juventus,27,21,,107,8,6,,117,7,3,,181,7,5,,119,49,35,,117
1993/1994,Juventus,30,16,,161,7,3,,204,2,2,,90,14,7,1,169,53,28,1,163
1994/1995,Juventus,17,8,,181,8,4,,180,4,2,,180,1,,,,30,14,,187
1995/1996,AC Milan,28,7,3,285,4,3,1,80,1,,,,1,,,,34,10,4,233
1996/1997,AC Milan,23,5,,297,5,1,,258,5,3,,142,1,1,,40,34,10,,221
1997/1998,Bologna,30,22,,103,,,,,3,1,,241,2,,,,35,23,,114
1998/1999,Inter Milan,23,5,4,323,6,4,1,87,6,1,1,446,7,2,2,175,42,12,8,230
1999/2000,Inter Milan,18,4,,193,,,,,6,3,,112,,,,,24,7,,159
2000,Free,,,,,,,,,,,,,1,1,,90,1,1,,90
2000/2001,Brescia,25,10,,215,,,,,3,,,,,,,,28,10,,235
2001/2002,Brescia,12,11,,78,2,1,,135,1,,,,,,,,15,12,,84
2002/2003,Brescia,32,12,,239,,,,,,,,,,,,,32,12,,239
2003/2004,Brescia,26,12,1,178,,,,,,,,,1,,,,27,12,1,185
