SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1985,Vasco da Gama,7,,,,,,,,20,11,,152,,,,,27,11,,174
1986/1987,Vasco da Gama,26,10,,207,,,,,43,33,,114,6,4,,63,75,47,,129
1987/1988,Vasco da Gama,14,5,,222,,,,,29,19,,133,,,,,43,24,,152
1988/1989,PSV Eindhoven,24,19,,101,5,3,,170,5,4,1,105,5,2,1,190,39,28,2,116
1988/1989,Vasco da Gama,,,,,,,,,,,,,8,2,,354,8,2,,354
1989/1990,PSV Eindhoven,20,23,,67,4,6,,57,3,2,1,135,7,2,,208,34,33,1,78
1990/1991,PSV Eindhoven,25,25,,81,2,,,,3,5,1,60,,,,,30,30,1,83
1991/1992,PSV Eindhoven,14,9,,135,2,,,,2,,,,,,,,18,9,,150
1992/1993,PSV Eindhoven,26,22,,102,9,7,,113,4,3,,130,2,,,,41,32,,110
1993/1994,FC Barcelona,33,30,1,92,10,2,,450,4,,,,11,12,1,79,58,44,2,110
1994/1995,FC Barcelona,13,4,,268,5,3,,150,,,,,,,,,18,7,,217
1995,Flamengo,16,8,,179,4,2,,165,26,27,,83,,,,,46,37,,108
1996,Flamengo,3,,,,,,,,,,,,,,,,3,,,
1996,Flamengo,,,,,,,,,30,31,,85,,,,,30,31,,85
1996/1997,Valencia CF,5,4,,113,,,,,,,,,,,,,5,4,,113
1997,Flamengo,4,3,,120,,,,,32,32,,89,12,11,,94,48,46,,92
1997/1998,Valencia CF,6,1,,496,,,,,1,1,,90,5,8,,56,12,10,,104
1998,Flamengo,20,14,,124,3,4,,68,17,17,,90,7,3,,206,47,38,,109
1999,Flamengo,19,12,,142,7,8,,68,28,26,,93,,,,,54,46,,102
2000,Vasco da Gama,28,20,,118,15,14,,101,29,32,,78,2,7,,26,74,73,,88
2001,Vasco da Gama,18,21,,73,9,5,,162,11,13,,74,5,3,,150,43,42,,89
2002,Fluminense,26,16,,135,,,,,,,,,,,,,26,16,,135
2002,Vasco da Gama,,,,,,,,,25,26,,83,,,,,25,26,,83
2003,Fluminense,21,13,,134,,,,,,,,,,,,,21,13,,134
2003,Fluminense,,,,,,,,,4,5,,72,,,,,4,5,,72
2004,Fluminense,13,5,,194,,,,,11,8,,116,,,,,24,13,,146
2005,Vasco da Gama,31,23,,112,,,,,12,8,,130,1,1,,38,44,32,,114
2006,Miami FC,25,19,3,118,,,,,1,,,,,,,,26,19,3,123
2006,Vasco da Gama,,,,,,,,,11,9,,107,,,,,11,9,,107
2006/2007,Adelaide Utd,4,1,,316,,,,,,,,,,,,,4,1,,316
2007,Vasco da Gama,6,3,,123,1,,,,12,12,,64,,,,,19,15,,77
2009,América RJ,,,,,,,,,,,,,,,,,,,,
