SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1997,Grêmio U-20,,,,,,,,,,,,,,,,,,,,
1998,Grêmio,14,1,,697,15,3,,358,9,2,,337,,,,,38,6,,407
1999,Grêmio,17,4,,379,4,2,,180,26,16,,122,13,7,,99,60,29,,155
2000,Grêmio,21,14,,133,,,,,16,14,,102,5,1,,327,42,29,,125
2001,Free,,,,,,,,,,,,,3,1,,213,3,1,,213
2001,Grêmio,,,,,,,,,3,2,,135,,,,,3,2,,135
2001/2002,Paris SG,28,9,8,214,6,2,,232,6,2,,184,10,5,3,126,50,18,11,188
2002/2003,Paris SG,27,8,8,241,4,1,,332,6,3,,168,9,2,,368,46,14,8,250
2003/2004,FC Barcelona,32,15,,178,7,4,,133,6,3,,160,6,2,,229,51,24,,172
2004/2005,FC Barcelona,35,9,1,341,7,4,,151,,,,,16,11,,121,58,24,1,208
2005/2006,FC Barcelona,29,17,1,149,12,7,2,154,4,2,,155,9,,1,,54,26,4,177
2006/2007,FC Barcelona,32,21,5,130,11,3,1,330,6,,1,,8,2,1,251,57,26,8,183
2007/2008,FC Barcelona,17,8,1,149,8,1,,583,1,,,,7,3,1,183,33,12,2,195
2008/2009,AC Milan,29,8,4,204,6,2,1,129,1,,,,5,,,,41,10,5,231
2009/2010,AC Milan,36,12,15,241,7,3,1,195,,,,,,,,,43,15,16,232
2010/2011,AC Milan,11,,3,,5,1,1,316,,,,,1,,,,17,1,4,994
2011,Flamengo,30,14,1,192,3,2,,77,,,,,5,1,,450,38,17,1,193
2012,Atlético MG,32,9,12,318,,,,,,,,,,,,,32,9,12,318
2012,Flamengo,2,1,,165,8,2,6,360,10,4,,213,1,,,,21,7,6,257
2013,Atlético MG,14,8,2,157,16,6,7,240,8,4,2,175,3,,,,41,18,11,200
2014,Atlético MG,2,,,,9,1,2,720,4,,,,,,,,15,1,2,1235
2014/2015,Querétaro,25,8,4,204,,,,,4,,,,,,,,29,8,4,247
2015,Fluminense,7,,,,,,,,2,,,,,,,,9,,,
