SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1992,São Cristovão,,,,,,,,,,,,,,,,,,,,
1993,Cruzeiro,14,12,,93,4,8,,49,,,,,,,,,18,20,,75
1993,São Cristovão,,,,,,,,,,,,,,,,,,,,
1994,Cruzeiro,,,,,8,2,,355,18,22,,73,3,1,1,131,29,25,1,98
1994/1995,PSV Eindhoven,33,30,,97,2,3,,56,1,2,,45,7,1,,461,43,36,,101
1995/1996,PSV Eindhoven,13,12,3,76,5,6,,72,3,1,1,132,1,2,,23,22,21,4,73
1996/1997,FC Barcelona,37,34,,94,7,5,,120,5,8,,56,18,15,,102,67,62,,93
1997/1998,Inter Milan,32,25,2,115,11,6,,163,4,3,,95,18,10,3,158,65,44,5,130
1998/1999,Inter Milan,19,14,,106,6,1,,420,3,,,,8,6,,107,36,21,,129
1999/2000,Inter Milan,7,3,,126,,,,,1,,,,3,1,,256,11,4,,167
2000/2001,Inter Milan,,,,,,,,,,,,,,,,,,,,
2001/2002,Inter Milan,10,7,1,92,5,,,,1,,,,12,9,,90,28,16,1,103
2002/2003,Real Madrid,31,23,,105,12,7,,121,1,,,,4,2,,135,48,32,,113
2003/2004,Real Madrid,32,24,1,109,9,4,1,182,7,3,1,177,11,8,,118,59,39,3,124
2004/2005,Real Madrid,34,21,,132,10,3,,266,1,,,,8,3,,220,53,27,,159
2005/2006,Real Madrid,23,14,1,129,2,,,,2,1,,180,11,8,1,99,38,23,2,128
2006/2007,AC Milan,14,7,4,151,,,,,,,,,,,,,14,7,4,151
2006/2007,Real Madrid,7,1,,326,4,2,,70,2,1,,180,,,,,13,4,,161
2007/2008,AC Milan,6,2,,158,,,,,,,,,,,,,6,2,,158
2009,Corinthians,20,12,1,134,,,,,18,11,,127,,,,,38,23,1,131
2010,Corinthians,11,6,,142,7,3,,191,9,3,,261,,,,,27,12,,184
2011,Free,,,,,,,,,,,,,1,,,,1,,,
2011,Corinthians,,,,,2,,,,2,,,,,,,,4,,,
