SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1978/1979,DWS,,,,,,,,,,,,,,,,,,,,
1979/1980,Haarlem,24,4,1,466,,,,,,,,,,,,,24,4,1,466
1980/1981,Haarlem,,,,,,,,,4,1,1,353,,,,,4,1,1,353
1981/1982,Haarlem,31,14,5,193,,,,,4,2,,158,2,,,,37,16,5,197
1982/1983,Feyenoord,33,8,1,370,,,,,2,1,,180,5,1,,340,40,10,1,348
1983/1984,Feyenoord,33,15,,195,4,1,,302,8,9,,81,6,4,,135,51,29,,155
1984/1985,Feyenoord,19,7,8,238,2,,,,2,,1,,4,,,,27,7,9,339
1985/1986,PSV Eindhoven,34,24,12,128,2,,,,2,3,1,60,5,,,,43,27,13,141
1986/1987,PSV Eindhoven,34,22,14,139,,,,,3,4,,75,7,3,,210,44,29,14,138
1987/1988,AC Milan,29,9,2,272,4,1,,360,6,3,,175,10,4,2,213,49,17,4,246
1988/1989,AC Milan,19,5,,291,8,4,2,125,1,2,,23,3,1,,216,31,12,2,184
1989/1990,AC Milan,2,,,,1,,,,,,,,6,1,,522,9,1,,709
1990/1991,AC Milan,26,7,,321,7,2,,298,1,,,,5,1,,425,39,10,,329
1991/1992,AC Milan,26,7,,288,,,,,1,1,,66,8,1,,682,35,9,,307
1992/1993,AC Milan,15,7,2,165,4,,,,7,4,,140,4,1,,338,30,12,2,196
1993/1994,Sampdoria,31,15,,177,,,,,10,3,,300,1,,,,42,18,,200
1994/1995,Sampdoria,22,9,,212,,,,,,,,,,,,,22,9,,212
1994/1995,AC Milan,8,3,,240,3,,1,,3,1,,161,,,,,14,4,1,288
1995/1996,Chelsea,31,3,,912,,,,,9,3,,274,,,,,40,6,,593
1996/1997,Chelsea,11,1,,680,,,,,2,,,,,,,,13,1,,774
1997/1998,Chelsea,6,,,,,,,,4,,,,,,,,10,,,
