SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1982/1983,ACR Messina,,,,,,,,,,,,,,,,,,,,
1983/1984,ACR Messina,,,,,,,,,,,,,,,,,,,,
1984/1985,ACR Messina,,,,,,,,,,,,,,,,,,,,
1985/1986,ACR Messina,,,,,,,,,6,1,,540,,,,,6,1,,540
1986/1987,ACR Messina,33,3,,944,,,,,3,2,,95,,,,,36,5,,604
1987/1988,ACR Messina,37,13,,247,,,,,5,2,,203,,,,,42,15,,241
1988/1989,ACR Messina,35,23,,124,,,,,4,2,,180,,,,,39,25,,129
1989/1990,Juventus,30,15,,169,12,4,,262,8,2,,325,8,6,1,104,58,27,1,180
1990/1991,Juventus,29,5,,488,7,3,,169,6,,,,7,1,,530,49,9,,438
1991/1992,Juventus,31,4,,645,,,,,9,1,,741,1,,,,41,5,,671
1992/1993,Inter Milan,21,6,2,276,,,,,2,1,,157,,,,,23,7,2,259
1993/1994,Inter Milan,9,5,,129,3,,,,1,,,,,,,,13,5,,158
1994,Jubilo Iwata,18,9,,182,,,,,5,5,,90,,,,,23,14,,149
1995,Jubilo Iwata,34,31,,102,,,,,,,,,,,,,34,31,,102
1996,Jubilo Iwata,22,14,,144,,,,,8,3,,227,,,,,30,17,,158
1997,Jubilo Iwata,3,1,,294,,,,,2,1,,166,,,,,5,2,,230
2007/2008,Team Altamura,,,,,,,,,,,,,,,,,,,,
