SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1931/1932,Stoke City,,,,,,,,,,,,,,,,,,,,
1932/1933,Stoke City,,,,,,,,,,,,,,,,,,,,
1933/1934,Stoke City,,,,,,,,,,,,,,,,,,,,
1934/1935,Stoke City,,,,,,,,,,,,,2,1,,180,2,1,,180
1935/1936,Stoke City,,,,,,,,,,,,,1,,,,1,,,
1936/1937,Stoke City,,,,,,,,,,,,,1,,,,1,,,
1937/1938,Stoke City,,,,,,,,,,,,,6,5,,108,6,5,,108
1938/1939,Stoke City,,,,,,,,,,,,,7,2,,315,7,2,,315
1946/1947,Stoke City,,,,,,,,,,,,,5,1,,450,5,1,,450
1947/1948,Blackpool,33,1,,2970,,,,,3,,,,5,,,,41,1,,3690
1948/1949,Blackpool,27,3,,810,,,,,,,,,5,1,,450,32,4,,720
1949/1950,Blackpool,17,,,,,,,,,,,,1,,,,18,,,
1950/1951,Blackpool,,,,,,,,,1,,,,2,,,,3,,,
1951/1952,Blackpool,,,,,,,,,,,,,,,,,,,,
1952/1953,Blackpool,,,,,,,,,1,,2,,,,,,1,,2,
1953/1954,Blackpool,,,,,,,,,1,,,,5,1,,480,6,1,,570
1954/1955,Blackpool,,,,,,,,,,,,,7,,,,7,,,
1955/1956,Blackpool,,,,,,,,,,,,,2,,,,2,,,
1956/1957,Blackpool,,,,,,,,,,,,,7,1,,630,7,1,,630
1957/1958,Blackpool,,,,,,,,,,,,,,,,,,,,
1958/1959,Blackpool,19,,,,,,,,,,,,,,,,19,,,
1959/1960,Blackpool,15,,,,,,,,,,,,,,,,15,,,
1960/1961,Blackpool,27,,,,,,,,,,,,,,,,27,,,
1961/1962,Stoke City,,,,,,,,,,,,,,,,,,,,
1961/1962,Blackpool,2,,,,,,,,,,,,,,,,2,,,
1962/1963,Stoke City,,,,,,,,,,,,,,,,,,,,
1963/1964,Stoke City,9,,,,,,,,,,,,,,,,9,,,
1964/1965,Stoke City,1,,,,,,,,,,,,,,,,1,,,
