SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1991/1992,INF Clairefontaine,,,,,,,,,,,,,,,,,,,,
1992/1993,INF Clairefontaine,,,,,,,,,,,,,,,,,,,,
1994/1995,Monaco,8,3,,94,,,,,,,,,,,,,8,3,,94
1995/1996,Monaco,18,3,,208,1,,,,3,,,,,,,,22,3,,252
1996/1997,Monaco,36,9,1,228,9,1,,367,3,,,,,,,,48,10,1,265
1997/1998,Monaco,30,4,4,429,9,7,1,82,5,,,,8,3,,171,52,14,5,228
1998/1999,Juventus,16,3,2,334,1,,,,3,,,,,,,,20,3,2,451
1998/1999,Monaco,13,1,1,754,5,,,,1,,,,3,,1,,22,1,2,1141
1999/2000,Arsenal,31,17,4,132,12,8,,81,5,1,,510,10,5,1,147,58,31,5,133
2000/2001,Arsenal,35,17,4,153,14,4,,295,4,1,,292,8,2,1,232,61,24,5,189
2001/2002,Arsenal,33,24,4,116,11,7,,140,5,1,,369,9,2,2,283,58,34,6,138
2002/2003,Arsenal,37,24,23,137,12,7,,146,6,1,,317,13,10,5,93,68,42,28,133
2003/2004,Arsenal,37,30,6,111,10,5,4,178,4,4,2,60,12,5,5,193,63,44,17,123
2004/2005,Arsenal,32,25,14,113,8,5,,144,2,,1,,7,1,1,557,49,31,16,137
2005/2006,Arsenal,32,27,7,99,11,5,2,186,2,1,,168,15,8,2,149,60,41,11,121
2006/2007,Arsenal,17,10,3,147,7,1,1,501,3,1,1,267,7,3,3,200,34,15,8,189
2007/2008,FC Barcelona,30,12,2,195,10,3,1,239,7,4,,123,10,6,,139,57,25,3,175
2008/2009,FC Barcelona,29,19,5,111,12,6,4,145,1,1,,54,9,3,1,261,51,29,10,132
2009/2010,FC Barcelona,21,4,1,305,8,,1,,3,,,,12,3,2,251,44,7,4,384
2010,Red Bulls,12,2,1,432,,,,,,,,,,,,,12,2,1,432
2011,Red Bulls,29,15,3,169,,,,,,,,,,,,,29,15,3,169
2011/2012,Arsenal,4,1,,98,1,,,,2,1,,25,,,,,7,2,,84
2012,Red Bulls,27,15,8,152,,,,,,,,,,,,,27,15,8,152
2013,Red Bulls,32,10,9,273,,,,,,,,,,,,,32,10,9,273
2014,Red Bulls,35,10,15,309,,,,,,,,,,,,,35,10,15,309
