SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1997/1998,Barcelona B B,33,2,,1468,,,,,6,,,,,,,,39,2,,1738
1998/1999,FC Barcelona,17,1,,1436,6,,,,3,1,,195,,,,,26,2,,1028
1999/2000,FC Barcelona,24,,,,10,1,,534,4,1,,249,,,,,38,2,,1089
2000/2001,FC Barcelona,20,2,,668,9,,,,7,,,,1,,,,37,2,,1163
2001/2002,FC Barcelona,35,4,,675,16,,1,,1,,,,5,,,,57,4,1,1057
2002/2003,FC Barcelona,29,2,1,1253,14,1,,1212,1,,,,7,,,,51,3,1,1405
2003/2004,FC Barcelona,36,5,,602,7,1,,630,6,,,,4,1,,188,53,7,,618
2004/2005,FC Barcelona,36,3,,1046,8,,1,,1,,,,8,1,,659,53,4,1,1159
2005/2006,FC Barcelona,16,,,,4,,,,2,,,,13,,,,35,,,
2006/2007,FC Barcelona,35,3,,955,10,,,,9,3,1,259,7,2,1,300,61,8,2,595
2007/2008,FC Barcelona,35,7,1,415,12,1,,973,7,1,,553,17,4,2,321,71,13,3,440
2008/2009,FC Barcelona,35,6,11,495,14,3,7,372,5,1,,234,14,1,1,1125,68,11,19,495
2009/2010,FC Barcelona,34,3,10,932,14,1,3,1320,5,3,1,102,18,,3,,71,7,17,821
2010/2011,FC Barcelona,31,3,7,814,12,2,3,476,7,,3,,7,1,1,389,57,6,14,732
2011/2012,FC Barcelona,31,9,7,240,11,2,1,445,9,2,6,342,14,1,4,958,65,14,18,335
2012/2013,FC Barcelona,30,5,7,439,11,1,4,944,7,1,,528,11,1,1,851,59,8,12,565
2013/2014,FC Barcelona,30,3,2,748,10,1,3,810,7,,1,,7,1,,457,54,5,6,809
2014/2015,FC Barcelona,31,2,8,891,10,,,,3,,,,,,,,44,2,8,1099
2015/2016,Al Sadd SC,24,3,13,720,1,,,,2,,2,,,,,,27,3,15,830
2016/2017,Al Sadd SC,26,10,6,233,1,,,,5,,,,,,,,32,10,6,290
2017/2018,Al Sadd SC,18,6,4,251,7,1,3,599,1,,,,,,,,26,7,7,314
2018/2019,Al Sadd SC,14,2,4,527,8,3,2,237,3,,,,,,,,25,5,6,407
