SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1973/1974,Zawisza,,,,,,,,,,,,,,,,,,,,
1974/1975,Zawisza,,,,,,,,,,,,,,,,,,,,
1975/1976,Widzew Lodz,,,,,,,,,,,,,4,1,,288,4,1,,288
1976/1977,Widzew Lodz,,,,,,,,,,,,,7,2,,167,7,2,,167
1977/1978,Widzew Lodz,,,,,2,1,,180,,,,,15,4,,271,17,5,,253
1978/1979,Widzew Lodz,,,,,,,,,,,,,8,3,,240,8,3,,240
1979/1980,Widzew Lodz,,,,,2,1,,180,,,,,8,3,,234,10,4,,221
1980/1981,Widzew Lodz,,,,,4,,,,,,,,2,,,,6,,,
1981/1982,Widzew Lodz,,,,,2,,,,,,,,10,7,2,129,12,7,2,154
1982/1983,Juventus,28,5,,477,9,2,,405,12,3,,350,6,1,1,540,55,11,1,435
1983/1984,Juventus,27,3,,732,9,4,1,200,6,2,,248,4,1,,360,46,10,1,385
1984/1985,Juventus,26,6,,371,10,3,,285,6,3,,153,6,2,,270,48,14,,291
1985/1986,AS Roma,29,7,,367,,,,,5,1,,424,8,,,,42,8,,463
1986/1987,AS Roma,26,4,,569,2,,,,6,4,,133,1,,,,35,8,,388
1987/1988,AS Roma,21,6,,300,,,,,3,1,,255,1,,,,25,7,,306
