SEASON,CLUB,LEAGUE_GAMESPLAYED,LEAUGE_GOALSSCORED,LEAGUE_ASSISTS,LEAGUE_EFFICIENCY,CONTINENT_GAMESPLAYED,CONTINENT_GOALSSCORED,CONTINENT_ASSISTS,CONTINENT_EFFICIENCY,NATIONAL_GAMESPLAYED,NATIONAL_GOALSSCORED,NATIONAL_ASSISTS,NATIONAL_EFFICIENCY,INTERNATIONAL_GAMESPLAYED,INTERNATIONAL_GOALSSCORED,INTERNATIONAL_ASSISTS,INTERNATIONAL_EFFICIENCY,TOTAL_GAMESPLAYED,TOTAL_GOALSSCORED,TOTAL_ASSISTS,TOTAL_EFFICIENCY
1987/1988,Cannes B,,,,,,,,,,,,,,,,,,,,
1988/1989,Cannes,2,,,,,,,,,,,,,,,,2,,,
1989/1990,Cannes B,,,,,,,,,,,,,,,,,,,,
1990/1991,Cannes,28,1,,2232,,,,,3,,,,,,,,31,1,,2478
1991/1992,Cannes,31,5,,488,4,,,,3,,,,,,,,38,5,,608
1992/1993,Bordeaux,35,10,,266,,,,,4,1,,323,,,,,39,11,,271
1993/1994,Bordeaux,34,6,1,413,6,2,,257,3,,,,,,,,43,8,1,415
1994/1995,Bordeaux,37,6,2,552,4,2,,172,5,1,,441,4,2,,83,50,11,2,387
1995/1996,Bordeaux,33,6,1,447,15,5,3,246,3,,,,14,3,4,379,65,14,8,383
1996/1997,Juventus,29,5,,463,13,2,1,553,2,,,,9,1,2,644,53,8,3,525
1997/1998,Juventus,32,7,2,361,11,3,3,302,5,1,,280,13,5,2,206,61,16,7,297
1998/1999,Juventus,25,2,,999,10,,1,,5,,,,7,,2,,47,2,3,1791
1999/2000,Juventus,32,4,,686,6,,,,3,1,,202,14,5,2,233,55,10,2,439
2000/2001,Juventus,33,6,6,459,4,,1,,2,,,,7,2,2,247,46,8,9,447
2001/2002,Real Madrid,31,7,,378,9,3,,255,9,2,,318,9,1,,671,58,13,,363
2002/2003,Real Madrid,33,9,,301,16,3,,449,1,,,,7,3,3,210,57,15,3,315
2003/2004,Real Madrid,33,6,3,449,10,3,,293,7,1,,538,11,4,3,230,61,14,6,359
2004/2005,Real Madrid,29,6,,391,10,,,,1,,,,,,,,40,6,,534
2005/2006,Real Madrid,29,9,2,243,4,,,,5,,,,15,5,3,241,53,14,5,283
