ID,NAME,POS,DATEOFBIRTH,PLACEOFBIRTH,AGE,DATEOFDEATH,NATIONALITY,HEIGHT,WEIGHT,URL,STATUS,ID
1,Pele,FW,"October 23, 1940",Tres Coracões ,85,"December 29, 2022",Brazil,1m72,67,https://www.footballdatabase.eu/en/player/details/16333--pele,SUCCESS,714d5f5f-07ea-459a-98cf-e43b88bbd1be
2,Cristiano Ronaldo,FW,"February 05, 1985",Funchal ,40,,Portugal,1m85,83,https://www.footballdatabase.eu/en/player/details/2058-cristiano-ronaldo,SUCCESS,601851e1-d1d4-434b-bd58-246987a6a1f1
3,Lionel Messi,FW,"June 24, 1987",Rosario ,38,,Argentina,1m70,67,https://www.footballdatabase.eu/en/player/details/10973-lionel-messi,SUCCESS,804dccd1-d381-42a9-8b19-1875e06f43bf
4,Diego Armando Maradona,MF,"October 30, 1960",Lanús ,65,"November 25, 2020",Argentina,1m68,73,https://www.footballdatabase.eu/en/player/details/9105-diego_armando-maradona,SUCCESS,454246e0-f832-48df-9610-a358d6cd577f
5,Franz Beckenbauer,DF,"September 11, 1945",Munich ,80,"January 07, 2024",Germany,1m81,75,https://www.footballdatabase.eu/en/player/details/16419-franz-beckenbauer,SUCCESS,4a1d55e0-ffa3-44dd-82ad-616d6cc04205
6,Michel Platini,MF,"June 21, 1955",Joeuf ,70,,France,1m78,71,https://www.footballdatabase.eu/en/player/details/15257-michel-platini,SUCCESS,b877a5fd-f676-47da-857f-e2582e89459e
7,Johan Cruijff,FW,"April 25, 1947",Amsterdam ,78,"March 24, 2016",Netherlands,1m78,71,https://www.footballdatabase.eu/en/player/details/14579-johan-cruijff,SUCCESS,9433dec1-77e3-4725-9a37-5b831151df03
8,Ronaldo,FW,"September 22, 1976",Rio de Janeiro ,49,,Brazil,1m83,82,https://www.footballdatabase.eu/en/player/details/424--ronaldo,SUCCESS,c6208479-bf10-4800-b6e7-90208d4e251e
9,Marco van Basten,FW,"October 31, 1964",Utrecht ,61,,Netherlands,1m86,80,https://www.footballdatabase.eu/en/player/details/9107-marco-van_basten,SUCCESS,3bf40a73-b799-4ff3-89cc-7079859bfd99
10,Eusebio,FW,"January 25, 1942",Lourenço Marques ,83,"January 05, 2014",Portugal,1m75,73,https://www.footballdatabase.eu/en/player/details/14555--eusebio,SUCCESS,78f78fd3-899e-4e5c-9532-ec4dea770bb1
11,Gerd Muller,FW,"November 03, 1945",Nördlingen ,80,"August 15, 2021",Germany,1m76,74,https://www.footballdatabase.eu/en/player/details/16420-gerd-muller,SUCCESS,540d7c2d-cf7e-458c-99db-00cc1f43470e
12,Bobby Charlton,MF,"October 11, 1937",Ashington ,88,"October 21, 2023",England,1m75,68,https://www.footballdatabase.eu/en/player/details/16423-bobby-charlton,SUCCESS,d00cacad-aed1-4a51-9e54-5e0716c6c7e1
