ID,NAME,POS,DATEOFBIRTH,PLACEOFBIRTH,AGE,DATEOFDEATH,NATIONALITY,HEIGHT,WEIGHT,URL,STATUS
1,Pele,FW,"October 23, 1940","Tres Coracões ",85,"December 29, 2022",Brazil,1m72,67,https://www.footballdatabase.eu/en/player/details/16333--pele,SUCCESS
2,Cristiano Ronaldo,FW,"February 05, 1985","Funchal ",40,,Portugal,1m85,83,https://www.footballdatabase.eu/en/player/details/2058-cristiano-ronaldo,SUCCESS
3,Lionel Messi,FW,"June 24, 1987","Rosario ",38,,Argentina,1m70,67,https://www.footballdatabase.eu/en/player/details/10973-lionel-messi,SUCCESS
4,Diego Armando Maradona,MF,"October 30, 1960","Lanús ",65,"November 25, 2020",Argentina,1m68,73,https://www.footballdatabase.eu/en/player/details/9105-diego_armando-maradona,SUCCESS
5,Franz Beckenbauer,DF,"September 11, 1945","Munich ",80,"January 07, 2024",Germany,1m81,75,https://www.footballdatabase.eu/en/player/details/16419-franz-beckenbauer,SUCCESS
6,Michel Platini,MF,"June 21, 1955","Joeuf ",70,,France,1m78,71,https://www.footballdatabase.eu/en/player/details/15257-michel-platini,SUCCESS
7,Johan Cruijff,FW,"April 25, 1947","Amsterdam ",78,"March 24, 2016",Netherlands,1m78,71,https://www.footballdatabase.eu/en/player/details/14579-johan-cruijff,SUCCESS
8,Ronaldo,FW,"September 22, 1976","Rio de Janeiro ",49,,Brazil,1m83,82,https://www.footballdatabase.eu/en/player/details/424--ronaldo,SUCCESS
9,Marco van Basten,FW,"October 31, 1964","Utrecht ",61,,Netherlands,1m86,80,https://www.footballdatabase.eu/en/player/details/9107-marco-van_basten,SUCCESS
10,Eusebio,FW,"January 25, 1942","Lourenço Marques ",83,"January 05, 2014",Portugal,1m75,73,https://www.footballdatabase.eu/en/player/details/14555--eusebio,SUCCESS
11,Gerd Muller,FW,"November 03, 1945","Nördlingen ",80,"August 15, 2021",Germany,1m76,74,https://www.footballdatabase.eu/en/player/details/16420-gerd-muller,SUCCESS
12,Bobby Charlton,MF,"October 11, 1937","Ashington ",88,"October 21, 2023",England,1m75,68,https://www.footballdatabase.eu/en/player/details/16423-bobby-charlton,SUCCESS
13,Karl-Heinz Rummenigge,FW,"September 25, 1955","Lippstadt ",70,,Germany,1m82,78,https://www.footballdatabase.eu/en/player/details/16418-karlheinz-rummenigge,SUCCESS
14,Zinedine Zidane,MF,"June 23, 1972","Marseille 16e ",53,,France,1m80,74,https://www.footballdatabase.eu/en/player/details/12-zinedine-zidane,SUCCESS
15,Luisito Suarez,MF,"February 01, 1962","São Paulo ",63,,Brazil,,,https://www.footballdatabase.eu/en/player/details/286599--luis_dos_reis,"FAILEDCould not find the user-interface (UI) element for this action."
16,Lothar Matthaus,MF,,,,,,,,https://www.footballdatabase.eu/en/player/details/3254-lothar-matthaus,FAILEDThere is no row at position 1.
17,Ruud Gullit,MF,"September 01, 1962","Amsterdam ",63,,Netherlands,1m86,83,https://www.footballdatabase.eu/en/player/details/4774-ruud-gullit,SUCCESS
18,Lev Yashin,GK,"October 22, 1929","Moscow ",96,"March 20, 1990",Russia,1m89,83,https://www.footballdatabase.eu/en/player/details/16425-lev-yashin,SUCCESS
19,Andriy Shevchenko,FW,,,,,,,,https://www.footballdatabase.eu/en/player/details/3-andriy-shevchenko,FAILEDThere is no row at position 1.
20,Raymond Kopa,MF,"October 13, 1931","Nœux-les-Mines ",94,"March 03, 2017",France,1m69,68,https://www.footballdatabase.eu/en/player/details/16430-raymond-kopa,SUCCESS
21,Gianni Rivera,MF,"August 18, 1943","Alessandria ",82,,Italy,1m75,68,https://www.footballdatabase.eu/en/player/details/16421-gianni-rivera,SUCCESS
22,Bobby Moore,DF,"April 12, 1941","Barking ",84,"February 24, 1993",England,1m78,,https://www.footballdatabase.eu/en/player/details/16554-bobby-moore,SUCCESS
23,Franco Baresi,DF,,,,,,,,https://www.footballdatabase.eu/en/player/details/9098-franco-baresi,FAILEDThere is no row at position 1.
24,Rivaldo,MF,"April 19, 1972","Recife ",53,,Brazil,1m86,75,https://www.footballdatabase.eu/en/player/details/423--rivaldo,SUCCESS
25,Luis Figo,MF,"November 04, 1972","Almada ",53,,Portugal,1m80,75,https://www.footballdatabase.eu/en/player/details/1664-luis-figo,SUCCESS
26,Florian Albert,FW,"September 15, 1941","Hercegszántó ",84,"October 31, 2011",Hungary,1m81,72,https://www.footballdatabase.eu/en/player/details/16422-florian-albert,SUCCESS
27,Denis Law,FW,"February 24, 1940","Aberdeen ",85,"January 17, 2025",Scotland,1m76,69,https://www.footballdatabase.eu/en/player/details/16424-denis-law,SUCCESS
28,Michael Owen,FW,"December 14, 1979","Chester ",46,,England,1m73,70,https://www.footballdatabase.eu/en/player/details/1258-michael-owen,SUCCESS
29,Roberto Baggio,FW,"February 18, 1967","Caldogno ",58,,Italy,1m74,72,https://www.footballdatabase.eu/en/player/details/2306-roberto-baggio,SUCCESS
